Produktgruppe,RowID,Kontrolle,K von,BE am,BE von,K am,K2 von,C am,C von,Reopen C2 am,Reopen C2 von
NA,4064396322148228,,LK,,HI,,DM,,,,
NA,8567995949518724,,SM,,,,,,,,
NA,405221624909700,,SM,,SM,,,,,,
NA,4908821252280196,,EK,,LK,,,,,,
NA,2657021438594948,,EK,,LK,,,,,,
NA,7160621065965444,,EK,,LK,,EK,,,,
NA,1531121531752324,,JHU,,,,,,,,
NA,6034721159122820,,,,,,,,,,
NA,3782921345437572,,SM,,LK,,EK,,,,
NA,8286520972808068,,EK,,LK,,EK,,,,
NA,968171578331012,,HI,,,,,,,,
NA,5471771205701508,,EK,,LK,,DM,,,,
NA,3219971392016260,,EK,,LK,,,,,,
NA,7723571019386756,,SM,,SM,,DM,,,,
NA,2094071485173636,,EK,,,,,,,,
NA,6597671112544132,,SM,,LK,,DM,,,,
NA,4345871298858884,,SM,,,,,,,,
NA,8849470926229380,,LK,,SM,,,,,,
NA,264484136554372,,SM,,,,,,,,
NA,4768083763924868,,SM,,,,,,,,
NA,2516283950239620,,LK,,LK,,,,,,
NA,7019883577610116,,EK,,LK,,,,,,
NA,1390384043396996,,HI,,,,,,,,
NA,5893983670767492,,EK,,EK,,DM,,,,
NA,3642183857082244,,JHU,,,,,,,,
NA,8145783484452740,,,,,,,,,,
NA,827434089975684,,DM,,HI,,DM,,,,
NA,5331033717346180,,DM,,,,,,,,
NA,3079233903660932,,EK,,LK,,DM,,,,
NA,7582833531031428,,EK,,LK,,DM,,,,
NA,1953333996818308,,DM,,,,,,,,
NA,6456933624188804,,SM,,LK,,DM,,,,
NA,4205133810503556,,SM,,LK,,DM,,,,
NA,8708733437874052,,EK,,,,,,,,
NA,545959113265028,,SM,,LK,,EK,,,,
NA,5049558740635524,,EK,,LK,,,,,,
NA,2797758926950276,,EK,,LK,,EK,,,,
NA,7301358554320772,,EK,,LK,,EK,,,,
NA,1671859020107652,,EK,,EK,,EK,,,,
NA,6175458647478148,,EK,,SM,,EK,,,,
NA,3923658833792900,,EK,,LK,,DM,,,,
NA,8427258461163396,,EK,,LK,,,,,,
NA,1108909066686340,,JHU,,,,,,,,
NA,5612508694056836,,,,,,,,,,
NA,3360708880371588,,EK,,LK,,EK,,,,
NA,7864308507742084,,EK,,SM,,EK,,,,
NA,2234808973528964,,EK,,LK,,DM,,,,
NA,6738408600899460,,EK,,LK,,DM,,,,
NA,4486608787214212,,EK,,LK,,,,,,
NA,8990208414584708,,EK,,LK,,,,,,
NA,9397438910340,,EK,,,,,,,,
NA,4512997066280836,,JHU,,,,,,,,
NA,2261197252595588,,HI,,LK,,,,,,
NA,6764796879966084,,EK,,LK,,,,,,
NA,1135297345752964,,DM,,,,,,,,
NA,5638896973123460,,EK,,LK,,,,,,
NA,3387097159438212,,HI,,,,,,,,
NA,7890696786808708,,JHU,,,,,,,,
NA,572347392331652,,EK,,,,,,,,
NA,5075947019702148,,EK,,,,,,,,
NA,2824147206016900,,JHU,,,,,,,,
NA,7327746833387396,,,,,,,,,,
NA,1698247299174276,,SM,,,,DM,,,,
NA,6201846926544772,,EK,,LK,,,,,,
NA,3950047112859524,,SM,,,,,,,,
NA,8453646740230020,,HI,,LK,,,,,,
NA,290872415620996,,EK,,LK,,,,,,
NA,4794472042991492,,EK,,LK,,EK,,,,
NA,2542672229306244,,EK,,LK,,DM,,,,
NA,7046271856676740,,EK,,SM,,EK,,,,
NA,1416772322463620,,EK,,SM,,EK,,,,
NA,5920371949834116,,EK,,SM,,EK,,,,
NA,3668572136148868,,HI,,LK,,,,,,
NA,8172171763519364,,HI,,,,,,,,
NA,853822369042308,,EK,,LK,,DM,,,,
NA,5357421996412804,,EK,,,,,,,,
NA,3105622182727556,,EK,,LK,,,,,,
NA,7609221810098052,,DM,,,,,,,,
NA,1979722275884932,,JHU,,,,,,,,
NA,6483321903255428,,,,,,,,,,
NA,4231522089570180,,EK,,,,,,,,
NA,8735121716940676,,EK,,,,,,,,
NA,150134927265668,,HI,,LK,,,,,,
NA,4653734554636164,,EK,,LK,,,,,,
NA,2401934740950916,,EK,,LK,,EK,,,,
NA,6905534368321412,,SM,,LK,,LK,,,,
